data,sample,strategy,n_sg,d,setting_name,t,k,l,reset_w,calgo,enforcer_str,sattr,max_dist,enforcer_name,train_avg_precision,top-1_train_avg_precision,top-3_train_avg_precision,top-5_train_avg_precision,top-10_train_avg_precision,top-50_train_avg_precision,train_avg_recall,top-1_train_avg_recall,top-3_train_avg_recall,top-5_train_avg_recall,top-10_train_avg_recall,top-50_train_avg_recall,train_avg_f1,top-1_train_avg_f1,top-3_train_avg_f1,top-5_train_avg_f1,top-10_train_avg_f1,top-50_train_avg_f1,train_avg_accuracy,top-1_train_avg_accuracy,top-3_train_avg_accuracy,top-5_train_avg_accuracy,top-10_train_avg_accuracy,top-50_train_avg_accuracy,val_avg_precision,top-1_val_avg_precision,top-3_val_avg_precision,top-5_val_avg_precision,top-10_val_avg_precision,top-50_val_avg_precision,val_avg_recall,top-1_val_avg_recall,top-3_val_avg_recall,top-5_val_avg_recall,top-10_val_avg_recall,top-50_val_avg_recall,val_avg_f1,top-1_val_avg_f1,top-3_val_avg_f1,top-5_val_avg_f1,top-10_val_avg_f1,top-50_val_avg_f1,val_avg_accuracy,top-1_val_avg_accuracy,top-3_val_avg_accuracy,top-5_val_avg_accuracy,top-10_val_avg_accuracy,top-50_val_avg_accuracy,test_avg_precision,top-1_test_avg_precision,top-3_test_avg_precision,top-5_test_avg_precision,top-10_test_avg_precision,top-50_test_avg_precision,test_avg_recall,top-1_test_avg_recall,top-3_test_avg_recall,top-5_test_avg_recall,top-10_test_avg_recall,top-50_test_avg_recall,test_avg_f1,top-1_test_avg_f1,top-3_test_avg_f1,top-5_test_avg_f1,top-10_test_avg_f1,top-50_test_avg_f1,test_avg_accuracy,top-1_test_avg_accuracy,top-3_test_avg_accuracy,top-5_test_avg_accuracy,top-10_test_avg_accuracy,top-50_test_avg_accuracy
yago15,-1,mean,20,500,4_1_-1_km_gs#1.00,6,4,1,-1,km,gs#1.00,isCitizenOf,1.0,gs,0.7083333333333333,1.0,1.0,1.0,0.7083333333333333,0.7083333333333333,0.5249999999999999,1.0,0.9166666666666666,0.7899999999999999,0.525,0.525,0.5552104899930987,0.888888888888889,0.8486772486772486,0.8083367839889579,0.5552104899930987,0.5552104899930987,0.887499988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.887499988079071,0.887499988079071,0.4583333333333333,1.0,1.0,0.7333333333333333,0.4583333333333333,0.4583333333333333,0.4375,1.0,1.0,0.7,0.4375,0.4375,0.4333333333333333,1.0,0.9333333333333332,0.6933333333333332,0.43333333333333335,0.43333333333333335,0.8571428656578064,1.0,0.9523809552192688,0.9142857193946838,0.8571428656578064,0.8571428656578064,0.375,1.0,1.0,0.6,0.375,0.375,0.2604166666666667,1.0,0.6944444444444445,0.4166666666666667,0.2604166666666667,0.2604166666666667,0.29464285714285715,1.0,0.7857142857142857,0.4714285714285714,0.29464285714285715,0.29464285714285715,0.8571428656578064,1.0,1.0,0.9428571462631226,0.8571428656578064,0.8571428656578064
yago15,-1,mean,20,500,4_1_-1_km_gs#1.00,13,4,1,-1,km,gs#1.00,isCitizenOf,1.0,gs,0.7083333333333333,1.0,1.0,1.0,0.7083333333333333,0.7083333333333333,0.5416666666666666,1.0,0.9166666666666666,0.8166666666666667,0.5416666666666666,0.5416666666666666,0.5564892623716153,0.888888888888889,0.8486772486772486,0.8103828197945845,0.5564892623716153,0.5564892623716153,0.8999999910593033,0.949999988079071,0.949999988079071,0.949999988079071,0.8999999910593033,0.8999999910593033,0.4583333333333333,1.0,1.0,0.7333333333333333,0.4583333333333333,0.4583333333333333,0.3541666666666667,1.0,0.8333333333333334,0.5666666666666667,0.35416666666666663,0.35416666666666663,0.3708333333333333,1.0,0.8222222222222223,0.5933333333333334,0.37083333333333335,0.37083333333333335,0.8750000074505806,1.0,0.9523809552192688,0.9142857193946838,0.8750000074505806,0.8750000074505806,0.375,1.0,1.0,0.6,0.375,0.375,0.2604166666666667,1.0,0.6944444444444445,0.4166666666666667,0.2604166666666667,0.2604166666666667,0.29464285714285715,1.0,0.7857142857142857,0.4714285714285714,0.29464285714285715,0.29464285714285715,0.8571428656578064,1.0,1.0,0.9428571462631226,0.8571428656578064,0.8571428656578064
yago15,-1,mean,20,500,4_1_-1_km_gs#1.00,16,4,1,-1,km,gs#1.00,isCitizenOf,1.0,gs,0.7083333333333333,1.0,1.0,1.0,0.7083333333333333,0.7083333333333333,0.5015151515151515,1.0,0.85,0.7524242424242423,0.5015151515151515,0.5015151515151515,0.5552104899930987,0.888888888888889,0.8486772486772486,0.8083367839889579,0.5552104899930987,0.5552104899930987,0.887499988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.887499988079071,0.887499988079071,0.4583333333333333,1.0,1.0,0.7333333333333333,0.4583333333333333,0.4583333333333333,0.3541666666666667,1.0,0.8333333333333334,0.5666666666666667,0.35416666666666663,0.35416666666666663,0.3708333333333333,1.0,0.8222222222222223,0.5933333333333334,0.37083333333333335,0.37083333333333335,0.8750000074505806,1.0,0.9523809552192688,0.9142857193946838,0.8750000074505806,0.8750000074505806,0.375,1.0,1.0,0.6,0.375,0.375,0.2604166666666667,1.0,0.6944444444444445,0.4166666666666667,0.2604166666666667,0.2604166666666667,0.29464285714285715,1.0,0.7857142857142857,0.4714285714285714,0.29464285714285715,0.29464285714285715,0.8571428656578064,1.0,1.0,0.9428571462631226,0.8571428656578064,0.8571428656578064
yago15,-1,mean,20,500,4_1_-1_km_gs#1.00,0,4,1,-1,km,gs#1.00,isCitizenOf,1.0,gs,0.7880090134960533,1.0,1.0,1.0,1.0,1.0,0.5026763250950285,1.0,1.0,1.0,1.0,0.9759697802197802,0.383470937745615,1.0,0.933319889762721,0.9028490767147754,0.8584918323408495,0.650986012151328,0.9299825924364004,1.0,1.0,1.0,0.999666953086853,0.998268119096756,0.4099149305922525,1.0,1.0,1.0,1.0,0.9655574287394344,0.1639720458358802,1.0,1.0,1.0,1.0,0.5151771443852587,0.138333115631072,1.0,0.9073081831991279,0.8377182432528102,0.6924040013129644,0.38407290892775703,0.9429692849516869,1.0,1.0,1.0,1.0,0.9982045030593872,0.39934467131576085,1.0,1.0,1.0,1.0,0.9686618855001207,0.12687215320626188,1.0,1.0,1.0,0.9857142857142858,0.3906311639943948,0.12282328190147153,1.0,0.9104522312069481,0.8129380053908355,0.6814940891306709,0.33956305810433984,0.9478409137915481,1.0,1.0,1.0,1.0,0.9987500011920929
yago15,-1,mean,20,500,4_1_-1_km_gs#1.00,7,4,1,-1,km,gs#1.00,isCitizenOf,1.0,gs,0.7083333333333333,1.0,1.0,1.0,0.7083333333333333,0.7083333333333333,0.5015151515151515,1.0,0.85,0.7524242424242423,0.5015151515151515,0.5015151515151515,0.5552104899930987,0.888888888888889,0.8486772486772486,0.8083367839889579,0.5552104899930987,0.5552104899930987,0.887499988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.887499988079071,0.887499988079071,0.4583333333333333,1.0,1.0,0.7333333333333333,0.4583333333333333,0.4583333333333333,0.3541666666666667,1.0,0.8333333333333334,0.5666666666666667,0.35416666666666663,0.35416666666666663,0.3708333333333333,1.0,0.8222222222222223,0.5933333333333334,0.37083333333333335,0.37083333333333335,0.8392857238650322,1.0,0.9047619104385376,0.8857142925262451,0.8392857238650322,0.8392857238650322,0.375,1.0,1.0,0.6,0.375,0.375,0.2604166666666667,1.0,0.6944444444444445,0.4166666666666667,0.2604166666666667,0.2604166666666667,0.29464285714285715,1.0,0.7857142857142857,0.4714285714285714,0.29464285714285715,0.29464285714285715,0.8571428656578064,1.0,1.0,0.9428571462631226,0.8571428656578064,0.8571428656578064
yago15,-1,mean,20,500,4_1_-1_km_gs#1.00,19,4,1,-1,km,gs#1.00,isCitizenOf,1.0,gs,0.7083333333333333,1.0,1.0,1.0,0.7083333333333333,0.7083333333333333,0.5583333333333333,1.0,0.9333333333333332,0.8433333333333334,0.5583333333333333,0.5583333333333333,0.5552104899930987,0.888888888888889,0.8486772486772486,0.8083367839889579,0.5552104899930987,0.5552104899930987,0.8937499895691872,0.949999988079071,0.949999988079071,0.949999988079071,0.8937499895691872,0.8937499895691872,0.4583333333333333,1.0,1.0,0.7333333333333333,0.4583333333333333,0.4583333333333333,0.4375,1.0,1.0,0.7,0.4375,0.4375,0.4333333333333333,1.0,0.9333333333333332,0.6933333333333332,0.43333333333333335,0.43333333333333335,0.8928571492433548,1.0,0.9523809552192688,0.9142857193946838,0.8928571492433548,0.8928571492433548,0.375,1.0,1.0,0.6,0.375,0.375,0.2604166666666667,1.0,0.6944444444444445,0.4166666666666667,0.2604166666666667,0.2604166666666667,0.29464285714285715,1.0,0.7857142857142857,0.4714285714285714,0.29464285714285715,0.29464285714285715,0.8571428656578064,1.0,1.0,0.9428571462631226,0.8571428656578064,0.8571428656578064
yago15,-1,mean,20,500,4_1_-1_km_gs#1.00,4,4,1,-1,km,gs#1.00,isCitizenOf,1.0,gs,0.7083333333333333,1.0,1.0,1.0,0.7083333333333333,0.7083333333333333,0.5041666666666667,1.0,0.8611111111111112,0.7566666666666666,0.5041666666666667,0.5041666666666667,0.5552104899930987,0.888888888888889,0.8486772486772486,0.8083367839889579,0.5552104899930987,0.5552104899930987,0.887499988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.887499988079071,0.887499988079071,0.4583333333333333,1.0,1.0,0.7333333333333333,0.4583333333333333,0.4583333333333333,0.3375,1.0,0.8333333333333334,0.54,0.3375,0.3375,0.35,1.0,0.8222222222222223,0.56,0.35,0.35,0.8392857238650322,1.0,0.9047619104385376,0.8857142925262451,0.8392857238650322,0.8392857238650322,0.375,1.0,1.0,0.6,0.375,0.375,0.2604166666666667,1.0,0.6944444444444445,0.4166666666666667,0.2604166666666667,0.2604166666666667,0.29464285714285715,1.0,0.7857142857142857,0.4714285714285714,0.29464285714285715,0.29464285714285715,0.8571428656578064,1.0,1.0,0.9428571462631226,0.8571428656578064,0.8571428656578064
yago15,-1,mean,20,500,4_1_-1_km_gs#1.00,5,4,1,-1,km,gs#1.00,isCitizenOf,1.0,gs,0.7083333333333333,1.0,1.0,1.0,0.7083333333333333,0.7083333333333333,0.5520833333333333,1.0,0.9166666666666666,0.8333333333333334,0.5520833333333334,0.5520833333333334,0.5552104899930987,0.888888888888889,0.8486772486772486,0.8083367839889579,0.5552104899930987,0.5552104899930987,0.8937499895691872,0.949999988079071,0.949999988079071,0.949999988079071,0.8937499895691872,0.8937499895691872,0.4583333333333333,1.0,1.0,0.7333333333333333,0.4583333333333333,0.4583333333333333,0.3375,1.0,0.8333333333333334,0.54,0.3375,0.3375,0.35,1.0,0.8222222222222223,0.56,0.35,0.35,0.8035714402794838,1.0,0.9047619104385376,0.8857142925262451,0.8035714402794838,0.8035714402794838,0.375,1.0,1.0,0.6,0.375,0.375,0.2604166666666667,1.0,0.6944444444444445,0.4166666666666667,0.2604166666666667,0.2604166666666667,0.29464285714285715,1.0,0.7857142857142857,0.4714285714285714,0.29464285714285715,0.29464285714285715,0.8571428656578064,1.0,1.0,0.9428571462631226,0.8571428656578064,0.8571428656578064
yago15,-1,mean,20,500,4_1_-1_km_gs#1.00,14,4,1,-1,km,gs#1.00,isCitizenOf,1.0,gs,0.7083333333333333,1.0,1.0,1.0,0.7083333333333333,0.7083333333333333,0.5104166666666667,1.0,0.8777777777777779,0.7666666666666667,0.5104166666666667,0.5104166666666667,0.5552104899930987,0.888888888888889,0.8486772486772486,0.8083367839889579,0.5552104899930987,0.5552104899930987,0.887499988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.887499988079071,0.887499988079071,0.4583333333333333,1.0,1.0,0.7333333333333333,0.4583333333333333,0.4583333333333333,0.4375,1.0,1.0,0.7,0.4375,0.4375,0.4333333333333333,1.0,0.9333333333333332,0.6933333333333332,0.43333333333333335,0.43333333333333335,0.8750000074505806,1.0,0.9523809552192688,0.9142857193946838,0.8750000074505806,0.8750000074505806,0.375,1.0,1.0,0.6,0.375,0.375,0.2604166666666667,1.0,0.6944444444444445,0.4166666666666667,0.2604166666666667,0.2604166666666667,0.29464285714285715,1.0,0.7857142857142857,0.4714285714285714,0.29464285714285715,0.29464285714285715,0.8571428656578064,1.0,1.0,0.9428571462631226,0.8571428656578064,0.8571428656578064
yago15,-1,mean,20,500,4_1_-1_km_gs#1.00,12,4,1,-1,km,gs#1.00,isCitizenOf,1.0,gs,0.7083333333333333,1.0,1.0,1.0,0.7083333333333333,0.7083333333333333,0.5270833333333333,1.0,0.85,0.7933333333333332,0.5270833333333333,0.5270833333333333,0.5552104899930987,0.888888888888889,0.8486772486772486,0.8083367839889579,0.5552104899930987,0.5552104899930987,0.8937499895691872,0.949999988079071,0.949999988079071,0.949999988079071,0.8937499895691872,0.8937499895691872,0.4583333333333333,1.0,1.0,0.7333333333333333,0.4583333333333333,0.4583333333333333,0.3375,1.0,0.8333333333333334,0.54,0.3375,0.3375,0.35,1.0,0.8222222222222223,0.56,0.35,0.35,0.8035714402794838,1.0,0.9047619104385376,0.8857142925262451,0.8035714402794838,0.8035714402794838,0.375,1.0,1.0,0.6,0.375,0.375,0.2604166666666667,1.0,0.6944444444444445,0.4166666666666667,0.2604166666666667,0.2604166666666667,0.29464285714285715,1.0,0.7857142857142857,0.4714285714285714,0.29464285714285715,0.29464285714285715,0.8571428656578064,1.0,1.0,0.9428571462631226,0.8571428656578064,0.8571428656578064
yago15,-1,mean,20,500,4_1_-1_km_gs#1.00,15,4,1,-1,km,gs#1.00,isCitizenOf,1.0,gs,0.7083333333333333,1.0,1.0,1.0,0.7083333333333333,0.7083333333333333,0.5249999999999999,1.0,0.9166666666666666,0.7899999999999999,0.525,0.525,0.5552104899930987,0.888888888888889,0.8486772486772486,0.8083367839889579,0.5552104899930987,0.5552104899930987,0.887499988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.887499988079071,0.887499988079071,0.4583333333333333,1.0,1.0,0.7333333333333333,0.4583333333333333,0.4583333333333333,0.3375,1.0,0.8333333333333334,0.54,0.3375,0.3375,0.35,1.0,0.8222222222222223,0.56,0.35,0.35,0.8392857238650322,1.0,0.9047619104385376,0.8857142925262451,0.8392857238650322,0.8392857238650322,0.375,1.0,1.0,0.6,0.375,0.375,0.2604166666666667,1.0,0.6944444444444445,0.4166666666666667,0.2604166666666667,0.2604166666666667,0.29464285714285715,1.0,0.7857142857142857,0.4714285714285714,0.29464285714285715,0.29464285714285715,0.8571428656578064,1.0,1.0,0.9428571462631226,0.8571428656578064,0.8571428656578064
yago15,-1,mean,20,500,4_1_-1_km_gs#1.00,18,4,1,-1,km,gs#1.00,isCitizenOf,1.0,gs,0.7083333333333333,1.0,1.0,1.0,0.7083333333333333,0.7083333333333333,0.49999999999999994,1.0,0.85,0.7499999999999999,0.5,0.5,0.5552104899930987,0.888888888888889,0.8486772486772486,0.8083367839889579,0.5552104899930987,0.5552104899930987,0.887499988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.887499988079071,0.887499988079071,0.4583333333333333,1.0,1.0,0.7333333333333333,0.4583333333333333,0.4583333333333333,0.4375,1.0,1.0,0.7,0.4375,0.4375,0.4333333333333333,1.0,0.9333333333333332,0.6933333333333332,0.43333333333333335,0.43333333333333335,0.8571428656578064,1.0,0.9523809552192688,0.9142857193946838,0.8571428656578064,0.8571428656578064,0.375,1.0,1.0,0.6,0.375,0.375,0.2604166666666667,1.0,0.6944444444444445,0.4166666666666667,0.2604166666666667,0.2604166666666667,0.29464285714285715,1.0,0.7857142857142857,0.4714285714285714,0.29464285714285715,0.29464285714285715,0.8571428656578064,1.0,1.0,0.9428571462631226,0.8571428656578064,0.8571428656578064
yago15,-1,mean,20,500,4_1_-1_km_gs#1.00,17,4,1,-1,km,gs#1.00,isCitizenOf,1.0,gs,0.7083333333333333,1.0,1.0,1.0,0.7083333333333333,0.7083333333333333,0.5119318181818182,1.0,0.8777777777777779,0.7690909090909092,0.5119318181818182,0.5119318181818182,0.5552104899930987,0.888888888888889,0.8486772486772486,0.8083367839889579,0.5552104899930987,0.5552104899930987,0.8749999925494194,0.949999988079071,0.949999988079071,0.9399999856948853,0.8749999925494194,0.8749999925494194,0.4583333333333333,1.0,1.0,0.7333333333333333,0.4583333333333333,0.4583333333333333,0.3541666666666667,1.0,0.8333333333333334,0.5666666666666667,0.35416666666666663,0.35416666666666663,0.3708333333333333,1.0,0.8222222222222223,0.5933333333333334,0.37083333333333335,0.37083333333333335,0.8392857238650322,1.0,0.9047619104385376,0.8857142925262451,0.8392857238650322,0.8392857238650322,0.375,1.0,1.0,0.6,0.375,0.375,0.2604166666666667,1.0,0.6944444444444445,0.4166666666666667,0.2604166666666667,0.2604166666666667,0.29464285714285715,1.0,0.7857142857142857,0.4714285714285714,0.29464285714285715,0.29464285714285715,0.8571428656578064,1.0,1.0,0.9428571462631226,0.8571428656578064,0.8571428656578064
yago15,-1,mean,20,500,4_1_-1_km_gs#1.00,8,4,1,-1,km,gs#1.00,isCitizenOf,1.0,gs,0.7083333333333333,1.0,1.0,1.0,0.7083333333333333,0.7083333333333333,0.5583333333333333,1.0,0.9333333333333332,0.8433333333333334,0.5583333333333333,0.5583333333333333,0.5552104899930987,0.888888888888889,0.8486772486772486,0.8083367839889579,0.5552104899930987,0.5552104899930987,0.8874999955296516,0.949999988079071,0.949999988079071,0.9399999856948853,0.8874999955296516,0.8874999955296516,0.4583333333333333,1.0,1.0,0.7333333333333333,0.4583333333333333,0.4583333333333333,0.4375,1.0,1.0,0.7,0.4375,0.4375,0.4333333333333333,1.0,0.9333333333333332,0.6933333333333332,0.43333333333333335,0.43333333333333335,0.8750000074505806,1.0,0.9523809552192688,0.9142857193946838,0.8750000074505806,0.8750000074505806,0.375,1.0,1.0,0.6,0.375,0.375,0.2604166666666667,1.0,0.6944444444444445,0.4166666666666667,0.2604166666666667,0.2604166666666667,0.29464285714285715,1.0,0.7857142857142857,0.4714285714285714,0.29464285714285715,0.29464285714285715,0.8571428656578064,1.0,1.0,0.9428571462631226,0.8571428656578064,0.8571428656578064
yago15,-1,mean,20,500,4_1_-1_km_gs#1.00,2,4,1,-1,km,gs#1.00,isCitizenOf,1.0,gs,0.7083333333333333,1.0,1.0,1.0,0.7083333333333333,0.7083333333333333,0.49999999999999994,1.0,0.85,0.7499999999999999,0.5,0.5,0.5552104899930987,0.888888888888889,0.8486772486772486,0.8083367839889579,0.5552104899930987,0.5552104899930987,0.887499988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.887499988079071,0.887499988079071,0.4583333333333333,1.0,1.0,0.7333333333333333,0.4583333333333333,0.4583333333333333,0.4375,1.0,1.0,0.7,0.4375,0.4375,0.4333333333333333,1.0,0.9333333333333332,0.6933333333333332,0.43333333333333335,0.43333333333333335,0.8928571492433548,1.0,0.9523809552192688,0.9142857193946838,0.8928571492433548,0.8928571492433548,0.375,1.0,1.0,0.6,0.375,0.375,0.2604166666666667,1.0,0.6944444444444445,0.4166666666666667,0.2604166666666667,0.2604166666666667,0.29464285714285715,1.0,0.7857142857142857,0.4714285714285714,0.29464285714285715,0.29464285714285715,0.8571428656578064,1.0,1.0,0.9428571462631226,0.8571428656578064,0.8571428656578064
