data,sample,strategy,n_sg,d,setting_name,t,k,l,reset_w,calgo,enforcer_str,sattr,max_dist,enforcer_name,train_avg_precision,top-1_train_avg_precision,top-3_train_avg_precision,top-5_train_avg_precision,top-10_train_avg_precision,top-50_train_avg_precision,train_avg_recall,top-1_train_avg_recall,top-3_train_avg_recall,top-5_train_avg_recall,top-10_train_avg_recall,top-50_train_avg_recall,train_avg_f1,top-1_train_avg_f1,top-3_train_avg_f1,top-5_train_avg_f1,top-10_train_avg_f1,top-50_train_avg_f1,train_avg_accuracy,top-1_train_avg_accuracy,top-3_train_avg_accuracy,top-5_train_avg_accuracy,top-10_train_avg_accuracy,top-50_train_avg_accuracy,val_avg_precision,top-1_val_avg_precision,top-3_val_avg_precision,top-5_val_avg_precision,top-10_val_avg_precision,top-50_val_avg_precision,val_avg_recall,top-1_val_avg_recall,top-3_val_avg_recall,top-5_val_avg_recall,top-10_val_avg_recall,top-50_val_avg_recall,val_avg_f1,top-1_val_avg_f1,top-3_val_avg_f1,top-5_val_avg_f1,top-10_val_avg_f1,top-50_val_avg_f1,val_avg_accuracy,top-1_val_avg_accuracy,top-3_val_avg_accuracy,top-5_val_avg_accuracy,top-10_val_avg_accuracy,top-50_val_avg_accuracy,test_avg_precision,top-1_test_avg_precision,top-3_test_avg_precision,top-5_test_avg_precision,top-10_test_avg_precision,top-50_test_avg_precision,test_avg_recall,top-1_test_avg_recall,top-3_test_avg_recall,top-5_test_avg_recall,top-10_test_avg_recall,top-50_test_avg_recall,test_avg_f1,top-1_test_avg_f1,top-3_test_avg_f1,top-5_test_avg_f1,top-10_test_avg_f1,top-50_test_avg_f1,test_avg_accuracy,top-1_test_avg_accuracy,top-3_test_avg_accuracy,top-5_test_avg_accuracy,top-10_test_avg_accuracy,top-50_test_avg_accuracy
email-temp,-1,mean,20,500,10_4_-1_km_gs#1.00,6,10,4,-1,km,gs#1.00,dept,1.0,gs,0.8,1.0,1.0,0.8,0.8,0.8,0.7375565610859729,1.0,0.9502262443438915,0.7375565610859729,0.7375565610859729,0.7375565610859729,0.7661290905368132,1.0,0.9731051344743276,0.7661290905368132,0.7661290905368132,0.7661290905368132,0.8398190140724182,1.0,0.9502262473106384,0.8398190140724182,0.8398190140724182,0.8398190140724182,0.8,1.0,1.0,0.8,0.8,0.8,0.7432432432432432,1.0,0.9527027027027026,0.7432432432432432,0.7432432432432432,0.7432432432432432,0.7694545454545455,1.0,0.9745454545454546,0.7694545454545455,0.7694545454545455,0.7694545454545455,0.8405405402183532,1.0,0.9527027010917664,0.8405405402183532,0.8405405402183532,0.8405405402183532,0.8,1.0,1.0,0.8,0.8,0.8,0.7189189189189189,1.0,0.9527027027027026,0.7189189189189189,0.7189189189189189,0.7189189189189189,0.7543770781747435,1.0,0.9745454545454546,0.7543770781747436,0.7543770781747436,0.7543770781747436,0.7959459483623504,1.0,0.9527027010917664,0.7959459483623504,0.7959459483623504,0.7959459483623504
email-temp,-1,mean,20,500,10_4_-1_km_gs#1.00,13,10,4,-1,km,gs#1.00,dept,1.0,gs,1.0,1.0,1.0,1.0,1.0,1.0,0.8462809917355372,1.0,0.9742883379247016,0.8462809917355372,0.8462809917355372,0.8462809917355372,0.9037682979256051,1.0,0.9866646934043707,0.9037682979256051,0.9037682979256051,0.9037682979256051,0.8490358233451843,1.0,0.9742883443832397,0.8490358233451843,0.8490358233451843,0.8490358233451843,1.0,1.0,1.0,1.0,1.0,1.0,0.8330578512396694,1.0,0.9724517906336088,0.8330578512396694,0.8330578512396694,0.8330578512396694,0.8948200245932483,1.0,0.985632183908046,0.8948200245932483,0.8948200245932483,0.8948200245932483,0.8413223147392273,1.0,0.9724517862002054,0.8413223147392273,0.8413223147392273,0.8413223147392273,1.0,1.0,1.0,1.0,1.0,1.0,0.8363636363636363,1.0,0.9393939393939394,0.8363636363636363,0.8363636363636363,0.8363636363636363,0.8976571421712514,1.0,0.9682016105353249,0.8976571421712514,0.8976571421712514,0.8976571421712514,0.8479338765144349,1.0,0.939393937587738,0.8479338765144349,0.8479338765144349,0.8479338765144349
email-temp,-1,mean,20,500,10_4_-1_km_gs#1.00,16,10,4,-1,km,gs#1.00,dept,1.0,gs,0.8,1.0,1.0,0.8,0.8,0.8,0.7414141414141414,1.0,0.9595959595959597,0.7414141414141414,0.7414141414141414,0.7414141414141414,0.7683122438068081,1.0,0.978494623655914,0.7683122438068081,0.7683122438068081,0.7683122438068081,0.8511784553527832,1.0,0.9595959583918253,0.8511784553527832,0.8511784553527832,0.8511784553527832,0.8,1.0,1.0,0.8,0.8,0.8,0.7232323232323232,1.0,0.946127946127946,0.7232323232323232,0.7232323232323232,0.7232323232323232,0.7574175824175824,1.0,0.9706959706959707,0.7574175824175824,0.7574175824175824,0.7574175824175824,0.8141414225101471,1.0,0.9461279511451721,0.8141414225101471,0.8141414225101471,0.8141414225101471,0.8,1.0,1.0,0.8,0.8,0.8,0.7313131313131314,1.0,0.9494949494949495,0.7313131313131314,0.7313131313131314,0.7313131313131314,0.7623775070977196,1.0,0.9726775956284154,0.7623775070977196,0.7623775070977196,0.7623775070977196,0.826262629032135,1.0,0.9494949579238892,0.826262629032135,0.826262629032135,0.826262629032135
email-temp,-1,mean,20,500,10_4_-1_km_gs#1.00,0,10,4,-1,km,gs#1.00,dept,1.0,gs,0.7959142693221867,1.0,0.9994262765347103,0.7959142693221868,0.7959142693221868,0.7959142693221868,0.7275929899856939,1.0,0.9418216499761565,0.7275929899856939,0.7275929899856939,0.7275929899856939,0.7584823584823586,1.0,0.9655529655529657,0.7584823584823586,0.7584823584823586,0.7584823584823586,0.8134265720844269,1.0,0.9379953344662985,0.8134265720844269,0.8134265720844269,0.8134265720844269,0.7847272727272727,1.0,0.9962121212121212,0.7847272727272727,0.7847272727272727,0.7847272727272727,0.7138204754973314,1.0,0.9437037037037038,0.7138204754973314,0.7138204754973314,0.7138204754973314,0.7445230024213074,1.0,0.96,0.7445230024213074,0.7445230024213074,0.7445230024213074,0.795815908908844,1.0,0.9288703004519144,0.795815908908844,0.795815908908844,0.795815908908844,0.6995862920654522,1.0,0.9367088607594937,0.6995862920654522,0.6995862920654522,0.6995862920654522,0.710326797385621,1.0,0.9431372549019609,0.710326797385621,0.710326797385621,0.710326797385621,0.7027809523809523,1.0,0.9206349206349206,0.7027809523809523,0.7027809523809523,0.7027809523809523,0.7235294163227082,1.0,0.8879551887512207,0.7235294163227082,0.7235294163227082,0.7235294163227082
email-temp,-1,mean,20,500,10_4_-1_km_gs#1.00,7,10,4,-1,km,gs#1.00,dept,1.0,gs,0.8,1.0,1.0,0.8,0.8,0.8,0.7469483568075117,1.0,0.9655712050078247,0.7469483568075117,0.7469483568075117,0.7469483568075117,0.7714843898182921,1.0,0.9818481848184818,0.7714843898182921,0.7714843898182921,0.7714843898182921,0.8530516505241394,1.0,0.9655712048212687,0.8530516505241394,0.8530516505241394,0.8530516505241394,0.8,1.0,1.0,0.8,0.8,0.8,0.7202797202797203,1.0,0.9393939393939394,0.7202797202797203,0.7202797202797203,0.7202797202797203,0.7556862745098039,1.0,0.9666666666666667,0.7556862745098039,0.7556862745098039,0.7556862745098039,0.8097902059555053,1.0,0.939393937587738,0.8097902059555053,0.8097902059555053,0.8097902059555053,0.8,1.0,1.0,0.8,0.8,0.8,0.7070422535211268,1.0,0.9366197183098591,0.7070422535211268,0.7070422535211268,0.7070422535211268,0.7471515921543714,1.0,0.9649805447470817,0.7471515921543714,0.7471515921543714,0.7471515921543714,0.7802816867828369,1.0,0.9366197188695272,0.7802816867828369,0.7802816867828369,0.7802816867828369
email-temp,-1,mean,20,500,10_4_-1_km_gs#1.00,19,10,4,-1,km,gs#1.00,dept,1.0,gs,1.0,1.0,1.0,1.0,1.0,1.0,0.8435331230283911,1.0,0.9674027339642483,0.8435331230283911,0.8435331230283911,0.8435331230283911,0.9029840606971062,1.0,0.9828634604754009,0.9029840606971062,0.9029840606971062,0.9029840606971062,0.8435331225395203,1.0,0.9674027363459269,0.8435331225395203,0.8435331225395203,0.8435331225395203,1.0,1.0,1.0,1.0,1.0,1.0,0.8377358490566038,1.0,0.9685534591194968,0.8377358490566038,0.8377358490566038,0.8377358490566038,0.8985866847844012,1.0,0.9834983498349835,0.8985866847844012,0.8985866847844012,0.8985866847844012,0.8415094375610351,1.0,0.9685534636179606,0.8415094375610351,0.8415094375610351,0.8415094375610351,1.0,1.0,1.0,1.0,1.0,1.0,0.8377358490566037,1.0,0.9685534591194968,0.8377358490566037,0.8377358490566037,0.8377358490566037,0.8948251108676926,1.0,0.9834983498349835,0.8948251108676926,0.8948251108676926,0.8948251108676926,0.8641509413719177,1.0,0.9685534636179606,0.8641509413719177,0.8641509413719177,0.8641509413719177
email-temp,-1,mean,20,500,10_4_-1_km_gs#1.00,4,10,4,-1,km,gs#1.00,dept,1.0,gs,0.6,1.0,1.0,0.6,0.6,0.6,0.5669642857142858,1.0,0.9449404761904763,0.5669642857142858,0.5669642857142858,0.5669642857142858,0.5819951338199514,1.0,0.9699918896999189,0.5819951338199514,0.5819951338199514,0.5819951338199514,0.6959821373224259,1.0,0.944940467675527,0.6959821373224259,0.6959821373224259,0.6959821373224259,0.6,1.0,1.0,0.6,0.6,0.6,0.548,1.0,0.9133333333333334,0.548,0.548,0.548,0.5701149425287356,1.0,0.9501915708812261,0.5701149425287356,0.5701149425287356,0.5701149425287356,0.662666666507721,1.0,0.9133333365122477,0.662666666507721,0.662666666507721,0.662666666507721,0.6,1.0,1.0,0.6,0.6,0.6,0.5519999999999999,1.0,0.9199999999999999,0.5519999999999999,0.5519999999999999,0.5519999999999999,0.5727272727272728,1.0,0.9545454545454546,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.6479999989271163,1.0,0.9199999968210856,0.6479999989271163,0.6479999989271163,0.6479999989271163
email-temp,-1,mean,20,500,10_4_-1_km_gs#1.00,5,10,4,-1,km,gs#1.00,dept,1.0,gs,1.0,1.0,1.0,1.0,1.0,1.0,0.8404494382022472,1.0,0.9438202247191011,0.8404494382022472,0.8404494382022472,0.8404494382022472,0.9035553771295743,1.0,0.9693251533742332,0.9035553771295743,0.9035553771295743,0.9035553771295743,0.8404494285583496,1.0,0.9438202182451884,0.8404494285583496,0.8404494285583496,0.8404494285583496,1.0,1.0,1.0,1.0,1.0,1.0,0.8147651006711409,1.0,0.9395973154362416,0.8147651006711409,0.8147651006711409,0.8147651006711409,0.8834583315423918,1.0,0.9667896678966791,0.8834583315423918,0.8834583315423918,0.8834583315423918,0.8295301914215087,1.0,0.9395973086357117,0.8295301914215087,0.8295301914215087,0.8295301914215087,1.0,1.0,1.0,1.0,1.0,1.0,0.8297297297297298,1.0,0.9346846846846847,0.8297297297297297,0.8297297297297297,0.8297297297297297,0.8980096827307286,1.0,0.9637952559300874,0.8980096827307286,0.8980096827307286,0.8980096827307286,0.8297297358512878,1.0,0.934684693813324,0.8297297358512878,0.8297297358512878,0.8297297358512878
email-temp,-1,mean,20,500,10_4_-1_km_gs#1.00,14,10,4,-1,km,gs#1.00,dept,1.0,gs,0.8,1.0,1.0,0.8,0.8,0.8,0.7404105501849862,1.0,0.9659863945578232,0.7404105501849862,0.7404105501849862,0.7404105501849862,0.7675293215524303,1.0,0.982078853046595,0.7675293215524303,0.7675293215524303,0.7675293215524303,0.8443148732185364,1.0,0.9659863909085592,0.8443148732185364,0.8443148732185364,0.8443148732185364,0.7980198019801981,1.0,1.0,0.7980198019801981,0.7980198019801981,0.7980198019801981,0.7559627329192546,1.0,0.9642857142857143,0.7559627329192546,0.7559627329192546,0.7559627329192546,0.7758118604097705,1.0,0.9800307219662058,0.7758118604097705,0.7758118604097705,0.7758118604097705,0.8521739065647125,1.0,0.9623188376426697,0.8521739065647125,0.8521739065647125,0.8521739065647125,0.78,1.0,1.0,0.78,0.78,0.78,0.7428695652173913,1.0,0.9681159420289855,0.7428695652173913,0.7428695652173913,0.7428695652173913,0.7604806536890171,1.0,0.9832572298325722,0.7604806536890171,0.7604806536890171,0.7604806536890171,0.8139130473136902,1.0,0.9681159456570944,0.8139130473136902,0.8139130473136902,0.8139130473136902
email-temp,-1,mean,20,500,10_4_-1_km_gs#1.00,12,10,4,-1,km,gs#1.00,dept,1.0,gs,0.8,1.0,1.0,0.8,0.8,0.8,0.748780487804878,1.0,0.9766260162601625,0.748780487804878,0.748780487804878,0.748780487804878,0.7722288156968948,1.0,0.9878883622959452,0.7722288156968948,0.7722288156968948,0.7722288156968948,0.8621951222419739,1.0,0.9766260186831156,0.8621951222419739,0.8621951222419739,0.8621951222419739,0.8,1.0,1.0,0.8,0.8,0.8,0.7418181818181818,1.0,0.9606060606060606,0.7418181818181818,0.7418181818181818,0.7418181818181818,0.7685341408897541,1.0,0.9790660225442834,0.7685341408897541,0.7685341408897541,0.7685341408897541,0.8345454514026642,1.0,0.960606058438619,0.8345454514026642,0.8345454514026642,0.8345454514026642,0.8,1.0,1.0,0.8,0.8,0.8,0.7449541284403669,1.0,0.9633027522935779,0.7449541284403669,0.7449541284403669,0.7449541284403669,0.7703495145631069,1.0,0.9805825242718447,0.7703495145631069,0.7703495145631069,0.7703495145631069,0.8642201900482178,1.0,0.963302751382192,0.8642201900482178,0.8642201900482178,0.8642201900482178
