data,sample,sattr,strategy,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
freebase,-1,location,static,all,adm,0.5,0.5,3,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.001597480777987939,3.8880000000000183e-05,0.0031560815559758745,0,5000,38241,51849,5000,5000,38483,90090,1,3,1,0,242
freebase,-1,location,static,all,adm,0.5,0.5,5,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.002750390276673205,6.625333333333262e-05,0.005434527220013066,0,5000,38110,100174,5000,5000,38483,138284,1,5,1,0,373
freebase,-1,location,static,all,adm,0.5,0.5,10,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.006533304404830632,0.00011867999999999604,0.012947928809661209,0,5000,37975,216425,5000,5000,38483,254400,1,10,1,0,508
freebase,-1,location,static,all,adm,0.5,0.5,9,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.006039739821657048,0.00010919999999999755,0.011970279643314092,0,5000,38194,197086,5000,5000,38483,235280,1,9,1,0,289
freebase,-1,location,static,all,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.002088943430403687,5.5999999999999796e-05,0.00412188686080738,0,5000,38317,76532,5000,5000,38483,114849,1,4,1,0,166
freebase,-1,location,static,all,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.0038094492730684345,8.285333333333189e-05,0.007536045212803522,0,5000,38064,123904,5000,5000,38483,161968,1,6,1,0,419
freebase,-1,location,static,all,adm,0.5,0.5,8,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.004866202469700266,0.00010015999999999812,0.00963224493940056,0,5000,37945,173953,5000,5000,38483,211898,1,8,1,0,538
freebase,-1,location,static,all,adm,0.5,0.5,7,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.004725525905323547,9.261333333333182e-05,0.009358438477313767,0,5000,38055,152195,5000,5000,38483,190250,1,7,1,0,428
freebase,-1,location,static,all,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,ad2,0.0007641095986361532,2.2186666666666977e-05,0.0015060325306056337,0,5000,38461,26068,5000,5000,38483,64529,1,2,1,0,22
