data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,radm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,15,skga,ad2,0.4326144295159075,0.43378036948882226,0.4314484895429899,0.003606920386965528,0,734,3667,3895,1291,734,7866,7562,1,734,1,557,4199
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,hdbscan,ir,ir,ir,1.0,5,skga,ad2,0.3437014799949909,0.3450985024626492,0.3423044575273339,0.003229636122212713,0,782,4004,4428,1189,782,6500,8432,1,782,1,407,2496
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,8,-1,1,-1,km,ir,ir,ir,1.0,10,skga,ad2,0.4705280364745517,0.4717204681790868,0.469335604770017,0.004234416907780657,0,623,2992,3601,1174,623,6544,6593,1,623,1,551,3552
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,8,-1,1,-1,km,ir,ir,ir,1.0,13,skga,ad2,0.49940334330635344,0.5004514234548116,0.49835526315789475,0.004164875033593124,0,610,2989,3469,1216,610,6731,6458,1,610,1,606,3742
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0.0,17,skga,ad2,0.5769901127965038,0.5777090391523297,0.576271186440678,0.10161582907820475,60,550,2231,2967,1238,610,7388,5198,1,610,1,688,5157
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,4,hdbscan,gs#1.00,gs,gs,1.0,12,skga,ad2,0.023433576312607115,0.025929129174627977,0.020938023450586266,0.00260343299713662,0,1169,5047,7560,1194,1169,6870,12607,1,1169,1,25,1823
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,gs,1.0,6,skga,ad2,0.27936198047560956,0.28062237893623204,0.2781015820149875,0.002418553417703324,0,867,3639,3564,1201,867,6809,7203,1,867,1,334,3170
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,17,skga,ad2,0.42354405197815054,0.4246325304506469,0.42245557350565427,0.0032632402562472497,0,715,3044,3243,1238,715,7388,6287,1,715,1,523,4344
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,4,km,gs#0.25,gs,gs,0.25,4,skga,ad2,0.04384855557869396,0.04432976421861242,0.04336734693877551,0.0005258271604938302,0,1125,4068,2098,1176,1125,6461,6166,2,1125,2,51,2393
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,hdbscan,ir,ir,ir,1.0,13,skga,ad2,0.4854932452172782,0.48661149043455537,0.484375,0.004205998539919489,0,627,3113,3717,1216,627,6731,6830,1,627,1,589,3618
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,6,skga,ad2,0.0015484598249723754,0.003096919649944751,0.0,0.0015484598249723754,0,1201,6352,4560,1201,1201,6809,10912,3,1201,3,0,457
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,hdbscan,gs#1.00,gs,gs,1.0,6,skga,ad2,0.4145487281276147,0.4161082805683024,0.41298917568692756,0.004525929279211302,0,705,2636,4783,1201,705,6809,7419,2,705,2,496,4173
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,ir,ir,ir,1.0,2,skga,ad2,0.09171723902086869,0.09364864608127585,0.08978583196046129,0.0023312380991380123,0,1105,6461,5752,1214,1105,7189,12213,1,1105,1,109,728
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,4,hdbscan,gs#1.00,gs,gs,1.0,19,skga,ad2,0.27151634941778013,0.2743522536845282,0.2686804451510334,0.0053024574669186635,0,920,2671,8976,1258,920,7135,11647,1,920,1,338,4464
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,1,4,km,gs#0.75,gs,gs,0.75,11,skga,ad2,0.3983078775049884,0.399708538515134,0.39690721649484534,0.0038509224762785918,0,702,3023,3974,1164,702,6725,6997,1,702,1,462,3702
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.75,gs,gs,0.75,19,skga,ad2,0.0018463708260771652,0.0028978290925358945,0.000794912559618442,0.0010531318965424472,0,1257,6537,3397,1258,1257,7135,9934,1,1257,1,1,598
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,1,km,ir,ir,ir,1.0,12,skga,ad2,0.25393859302093796,0.2541083418207757,0.2537688442211055,0.000304831580551745,0,891,1282,1240,1194,891,6870,2522,1,891,1,303,5588
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,3,-1,km,gs#1.00,gs,gs,1.0,13,skga,ad2,0.5362892045208624,0.5372165669364598,0.5353618421052632,0.004295559558305278,0,565,2043,2877,1216,565,6731,4920,1,565,1,651,4688
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,11,skga,ad2,0.5577466831402552,0.5587923353526759,0.5567010309278351,0.005321006850549814,0,516,2104,2865,1164,516,6725,4969,1,516,1,648,4621
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,1,4,km,gs#0.75,gs,gs,0.75,7,skga,ad2,0.29303873964426963,0.29451737698674857,0.2915601023017903,0.002946155372226357,0,831,3568,4246,1173,831,6627,7814,1,831,1,342,3059
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,4,skga,ad2,0.3610727879587226,0.36245169836642305,0.3596938775510204,0.0033632623115329987,0,753,3728,4201,1176,753,6461,7929,1,753,1,423,2733
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,1,km,gs#0.75,gs,gs,0.75,12,skga,ad2,0.002830841813758924,0.003986641751470926,0.0016750418760469012,0.0011596817147876235,0,1192,5798,3503,1194,1192,6870,9301,1,1192,1,2,1072
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#1.00,gs,gs,1.0,3,skga,ad2,0.34906491526561584,0.3506362026637717,0.34749362786745963,0.003690507676866322,0,768,3401,4924,1177,768,6629,8325,1,768,1,409,3228
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,17,skga,ad2,0.36290929269941413,0.36394459509188143,0.36187399030694667,0.002542461144047437,0,790,4142,3219,1238,790,7388,7361,1,790,1,448,3246
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,4,skga,ad2,0.11043449054792098,0.1111751035448193,0.1096938775510204,0.0009343564958871879,0,1047,5656,1901,1176,1047,6461,7557,1,1047,1,129,805
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,3,hdbscan,gs#1.00,gs,gs,1.0,3,skga,ad2,0.018868442081267266,0.0207445307215831,0.016992353440951572,0.001941509686258306,0,1157,5694,5382,1177,1157,6629,11076,1,1157,1,20,935
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,4,-1,1,-1,km,ir,ir,ir,1.0,0,skga,ad2,0.3651716490811247,0.36541041225620685,0.3649328859060403,0.0005920087112969379,0,757,1203,1018,1192,757,6502,2221,1,757,1,435,5299
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0.0,0,skga,ad2,0.16114641585341405,0.1614197516744892,0.1608730800323363,0.041907844646850635,45,1038,2185,1467,1192,1083,6502,3652,2,1083,2,154,4317
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,1,hdbscan,ir,ir,ir,1.0,6,skga,ad2,0.1465890899964712,0.1491315521827839,0.1440466278101582,0.0034701982618965226,0,1028,3812,7979,1201,1028,6809,11791,12,1028,12,173,2997
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,hdbscan,ir,ir,ir,1.0,12,skga,ad2,0.6116535006130602,0.6127542374070242,0.6105527638190955,0.007257486414614408,0,465,1877,3703,1194,465,6870,5580,1,465,1,729,4993
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,6,-1,1,-1,hdbscan,ir,ir,ir,1.0,6,skga,ad2,0.32723909647871846,0.32891616131713686,0.32556203164029973,0.003686937966773351,0,810,4330,5278,1201,810,6809,9608,1,810,1,391,2479
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,8,skga,ad2,0.44867881944444565,0.44985763888889124,0.4475,0.0038617372926662142,0,663,3228,3701,1200,663,6926,6929,1,663,1,537,3698
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,ir,ir,ir,1.0,16,skga,ad2,0.35013857162053214,0.3510968153722123,0.34918032786885245,0.0022623232175827384,0,794,4145,2799,1220,794,6609,6944,1,794,1,426,2464
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,4,km,ir,ir,ir,1.0,9,skga,ad2,0.273503344580684,0.2742011814161003,0.2728055077452668,0.001319631665557927,0,845,1837,2684,1162,845,6806,4521,1,845,1,317,4969
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,17,skga,ad2,0.5646911481074536,0.5655696952456021,0.5638126009693053,0.004617626886145408,0,540,1964,2751,1238,540,7388,4715,1,540,1,698,5424
email-temp,-1,dept,mean,20,all,adm,0.5,0.5,10,-1,4,1,hdbscan,gs#1.00,gs,gs,1.0,1,skga,ad2,0.018564879028198738,0.02040735002964184,0.016722408026755852,0.001905672983479099,0,1176,5598,5322,1196,1176,6779,10920,4,1176,4,20,1181
