data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,radm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,1,skga,ad2,0.8738786287348618,0.873774024469649,0.8739832330000747,0.0008371468396928917,0,1068,7519,17313,8461,1068,52902,24832,2,4,2,7393,45383
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.75,gs,gs,0.75,8,skga,ad2,0.9951657480262528,0.9951548181169021,0.9951766779356039,0.002435156553896045,0,41,230,1719,8462,41,53708,1949,10,10,41,8421,53478
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,ir,ir,ir,1.0,13,skga,ad2,0.961620694945457,0.9615975980911775,0.9616437917997366,0.0006211041437999298,0,325,2107,4095,8463,325,54845,6202,2,2,325,8138,52738
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,4,skga,ad2,0.8738787217779478,0.8737740077071852,0.8739834358487109,0.0008374243241529055,0,1068,7615,17548,8461,1068,53125,25163,2,4,2,7393,45510
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,19,skga,ad2,0.7680456313596119,0.7679421006686701,0.7681491620505554,0.00045353563403529565,0,1966,18102,16796,8472,1966,69986,34898,1,2,1,6506,51884
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.75,gs,gs,0.75,5,skga,ad2,0.981123888812906,0.9810897238678812,0.9811580537579335,0.0018325557683369867,0,160,936,5824,8461,160,53240,6760,10,10,160,8301,52304
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,4,km,gs#1.00,gs,gs,1.0,10,skga,ad2,0.9845493963841891,0.984519203595749,0.9845795891726288,0.0023260692506593293,0,131,795,4855,8462,131,53962,5650,5,10,5,8331,53167
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,10,skga,ad2,0.9775956228500957,0.9775467099959607,0.9776445357042304,0.002209579148841354,0,190,1150,6990,8462,190,53962,8140,10,10,190,8272,52812
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,3,hdbscan,gs#1.00,gs,gs,1.0,5,skga,ad2,0.9879711135535124,0.9879447027547894,0.9879975243522345,0.0022443032254053476,0,102,665,4617,8461,102,53240,5282,10,10,102,8359,52575
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,8,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,8,skga,ad2,0.9686249209560371,0.9685654040494467,0.9686844378626245,0.0019210505786142014,0,266,1860,9992,8462,266,53708,11852,8,8,8,8196,51848
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0.0,10,skga,ad2,0.9764187962786283,0.9763733283465602,0.9764642642106957,0.016697921550364446,3,200,1420,8098,8462,203,53962,9518,10,10,203,8262,52542
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#1.00,gs,gs,1.0,1,skga,ad2,0.9940985526341489,0.9940905456057681,0.9941065596625285,0.0015360130465127738,0,50,220,1560,8461,50,52902,1780,10,10,50,8411,52682
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,2,hdbscan,gs#1.00,gs,gs,1.0,1,skga,ad2,0.9917410194200572,0.9917267658036961,0.9917552730364187,0.0018668940081182218,0,70,335,2435,8461,70,52902,2770,10,10,70,8391,52567
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,14,skga,ad2,0.9760681816563627,0.9760160931788052,0.9761202701339191,0.0021941709570659626,0,203,1489,9272,8464,203,55599,10761,10,10,203,8261,54110
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.25,gs,gs,0.25,10,skga,ad2,0.9952802418739723,0.9952729879029869,0.9952874958449595,0.0015973730005622174,0,40,194,1316,8462,40,53962,1510,10,10,40,8422,53768
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#1.00,gs,gs,1.0,12,skga,ad2,0.9762945558152916,0.9762467836942679,0.9763423279363153,0.002041590287571299,0,201,1168,7631,8462,201,54439,8799,2,10,2,8261,53271
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,8,-1,1,-1,km,gs#1.00,gs,gs,1.0,11,skga,ad2,0.9357085367097131,0.9355944556394346,0.935822617779991,0.0017755920403671709,0,545,3826,19414,8462,545,54152,23240,8,8,545,7917,50326
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,gs,1.0,10,skga,ad2,0.9905610116149314,0.9905459827886829,0.9905760404411779,0.0016606513328255486,0,80,343,2227,8462,80,53962,2570,10,10,80,8382,53619
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,2,-1,hdbscan,gs#1.00,gs,gs,1.0,19,skga,ad2,0.9819811018880102,0.9819405544989173,0.982021649277105,0.002314796432401161,0,153,989,5997,8472,153,69986,6986,10,10,153,8319,68997
yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.50,gs,gs,0.5,5,skga,ad2,0.9905598421182052,0.9905448654261205,0.9905748188102925,0.0016549497117521988,0,80,411,2529,8461,80,53240,2940,10,10,80,8381,52829
