data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,calgo,enforcer_name,max_dist,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.5,2,ctkga,0.0006295076055599264,0.0006295076055599264,0.0012590152111198528,0.0,0.0014037503278258548,0.0011142800944138444,0,858,9454,793,1271,9454,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.5,4,ctkga,0.0007591459136198238,0.0007591459136198238,0.0015182918272396476,0.0,0.0017019837286037592,0.0013345999258755517,0,777,10257,907,1269,10257,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.5,5,ctkga,0.0008274539788459081,0.0008274539788459081,0.0016549079576918162,0.0,0.0019281193402765722,0.0013816965751070652,0,737,9825,827,1251,9825,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.5,6,ctkga,0.000688614922366067,0.000688614922366067,0.001377229844732134,0.0,0.0015117249467567525,0.0012427347427075048,0,783,9938,839,1301,9938,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.5,7,ctkga,0.0006976703476512777,0.0006976703476512777,0.0013953406953025555,0.0,0.0015045172369950951,0.001286164153610015,0,821,10933,956,1367,10933,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.5,8,ctkga,0.000798870672783858,0.000798870672783858,0.001597741345567716,0.0,0.001761365459270432,0.001434117231864994,0,751,10141,977,1317,10141,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.5,9,ctkga,0.000784325744061458,0.000784325744061458,0.001568651488122916,0.0,0.0017768421527266957,0.0013604608235191302,0,754,10492,935,1329,10492,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.75,0,ctkga,0.0,0.0,0.0,0.0,0.0,0.0,0,1288,9687,0,1288,9687,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.75,1,ctkga,0.0005485063221783779,0.0005485063221783779,0.0010970126443567557,0.0,0.0012543268894308177,0.000939698399282697,0,916,10299,668,1287,10299,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.75,2,ctkga,0.0006304661039622495,0.0006304661039622495,0.001260932207924499,0.0,0.001424927713159471,0.0010969367026895228,0,854,9454,781,1271,9454,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.75,3,ctkga,0.0006901994818001143,0.0006901994818001143,0.0013803989636002286,0.0,0.0015355235244300183,0.0012252744027704372,0,806,9880,776,1262,9880,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.75,4,ctkga,0.0007625845391802805,0.0007625845391802805,0.001525169078360561,0.0,0.0017232570424059758,0.0013270811143151584,0,773,10257,936,1269,10257,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.25,1,ctkga,0.0005306365006134059,0.0005306365006134059,0.0010612730012268118,0.0,0.0012118580247910521,0.0009106879776625749,0,915,10299,629,1287,10299,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.5,3,ctkga,0.0006636291600633904,0.0006636291600633904,0.0013272583201267808,0.0,0.0014502877637834655,0.001204228876470095,0,810,9880,734,1262,9880,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,0.75,5,ctkga,0.000836769489589169,0.000836769489589169,0.001673538979178338,0.0,0.001968317818863191,0.001378760139493488,0,731,9825,824,1251,9825,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,1,km,msa,1.0,7,ctkga,0.0006924614152546688,0.0006924614152546688,0.0013849228305093375,0.0,0.001542585255298636,0.0012272604057200398,0,815,10933,911,1367,10933,1
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.0,9,ctkga,0.0012214325966442227,0.0012214325966442227,0.0024428651932884454,0.0,0.002864205072162177,0.002021525314414702,0,943,10492,2190,1329,10492,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.5,1,ctkga,0.0011838549007183955,0.0011838549007183955,0.002367709801436791,0.0,0.0027912535817026965,0.0019441660211708884,0,1279,10299,4738,1287,10299,2
email-temp,-1,dept,mean,10,only_clusters,adm,0.5,0.5,2,-1,2,km,msa,0.75,3,ctkga,0.0016143788495877943,0.0016143788495877943,0.0032287576991755886,0.0,0.003746659824975783,0.0027108555733753774,0,1143,9880,5526,1262,9880,2
