data,sample,sattr,strategy,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity,num_clusters,num_anonymized_entities
email-temp,-1,dept,static,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,tanga,0.00033341007614384293,0.00033341007614384293,0.0006668201522876859,0.0,0.0007236753442195834,0.0006099649603557884,0,,32613,882,1688,32613,2,789,1688
email-temp,-1,dept,static,all,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,tanga,0.00020627554974057274,0.00020627554974057274,0.0004125510994811455,0.0,0.0004162361582174713,0.000408866040744818,0,,32613,258,1688,32613,2,776,1688
email-temp,-1,dept,static,all,adm,0.5,0.5,4,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,tanga,0.0009338114316839229,0.0009338114316839229,0.0018676228633678457,0.0,0.0019439562229060369,0.0017912895038296494,0,,32613,2789,1688,32613,4,381,1688
email-temp,-1,dept,static,all,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,tanga,0.000690422076098913,0.000690422076098913,0.001380844152197826,0.0,0.0015126288717683685,0.0012490594326272958,0,,32613,1643,1688,32613,4,371,1688
email-temp,-1,dept,static,all,adm,0.5,0.5,6,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,tanga,0.0013398698086296323,0.0013398698086296323,0.0026797396172592645,0.0,0.002890138923204766,0.002469340311313753,0,,32613,4344,1688,32613,6,256,1688
email-temp,-1,dept,static,all,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,tanga,0.000907138625592406,0.000907138625592406,0.001814277251184812,0.0,0.001912370005166086,0.0017161844972035532,0,,32613,2264,1688,32613,6,246,1688
email-temp,-1,dept,static,all,adm,0.5,0.5,8,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,tanga,0.001426907386401905,0.001426907386401905,0.00285381477280381,0.0,0.0030852715572425985,0.002622357988365001,0,,32613,3961,1688,32613,8,183,1688
