data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer_name,max_dist,enforcer,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity,num_big_clusters,num_clusters,num_entities_in_big_clusters,num_anonymized_entities
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,1,-1,km,gs#1.00,gs,1.0,gs,0,skga,0.0018258186568172268,0.0018258186568172268,0.0036516373136344536,0.0,0.0037737038872123385,0.0035295707400568145,0,,22393,4246,1490,22393,10,0,129,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,1,-1,km,gs#1.00,gs,1.0,gs,1,skga,0.1963137883163339,0.004868151960032949,0.009736303920065898,0.0,0.011132217531333108,0.008340390308798695,0,,23467,13432,1549,23467,10,0,105,0,1251
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,2,-1,hdbscan,gs#1.00,gs,1.0,gs,0,skga,0.010007094275032612,0.010007094275032612,0.020014188550065225,0.0,0.0246367280753117,0.015391649024818621,0,,22393,32374,1490,22393,10,0,117,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,2,-1,hdbscan,gs#1.00,gs,1.0,gs,1,skga,0.2060890405563724,0.013027226181236614,0.026054452362473227,0.0,0.03236282508157888,0.019746079643367352,0,,23467,36589,1549,23467,10,0,96,0,1246
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,1.0,gs,0,skga,0.0027270168010449726,0.0027270168010449726,0.005454033602089945,0.0,0.006281248592405651,0.004626818611774318,0,,22393,7429,1490,22393,10,0,118,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,1.0,gs,0,skga,0.012503490833746182,0.012503490833746182,0.025006981667492365,0.0,0.03088059096437082,0.01913337237061384,0,,22393,40998,1490,22393,10,0,99,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,1.0,gs,1,skga,0.18804672499511355,0.01587196949720726,0.03174393899441452,0.0,0.03953128425527786,0.023956593733551045,0,,23467,46106,1549,23467,10,0,80,0,1278
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,3,-1,km,gs#1.00,gs,1.0,gs,0,skga,0.003384532228277993,0.003384532228277993,0.006769064456555986,0.0,0.00733435430836448,0.00620377460474753,0,,22393,9486,1490,22393,10,0,116,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,3,-1,km,gs#1.00,gs,1.0,gs,1,skga,0.20998292907271437,0.006707432738339753,0.013414865476679506,0.0,0.015137017598282732,0.011692713355076033,0,,23467,18962,1549,23467,10,0,94,0,1232
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#1.00,gs,1.0,gs,0,skga,0.011296788432953422,0.011296788432953422,0.022593576865906843,0.0,0.027054637178505373,0.01813251655330827,0,,22393,35961,1490,22393,10,0,84,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#1.00,gs,1.0,gs,1,skga,0.31974126042291406,0.015214217191676479,0.030428434383352958,0.0,0.03735059700862274,0.023506271758083154,0,,23467,36025,1549,23467,10,0,70,0,1070
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,0.25,gs,0,skga,0.025017341561190908,0.002249889372372563,0.004499778744745126,0.0,0.003830481598938034,0.005169075890552448,0,,22393,4795,1490,22393,10,0,101,0,1456
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,0.25,gs,1,skga,0.2020131274430576,0.005565836210214177,0.011131672420428354,0.0,0.012232218954226156,0.010031125886630597,0,,23467,16233,1549,23467,10,0,87,0,1243
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#0.50,gs,0.5,gs,0,skga,0.006443516057835225,0.002426441324915422,0.004852882649830844,0.0,0.00435427558385645,0.005351489715805303,0,,22393,5734,1490,22393,10,0,108,0,1484
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#0.50,gs,0.5,gs,1,skga,0.1647748750625677,0.006325869026050195,0.01265173805210039,0.0,0.013576967053715677,0.011726509050484852,0,,23467,19601,1549,23467,10,0,95,0,1302
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#0.75,gs,0.75,gs,0,skga,0.004322327823071014,0.0029840513819729916,0.005968102763945983,0.0,0.005704697986577157,0.0062315075413148105,0,,22393,7749,1490,22393,10,0,106,0,1488
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,1.0,gs,1,skga,0.14927809065679307,0.003201030580463272,0.006402061160926544,0.0,0.007196580879372602,0.005607541442480512,0,,23467,8538,1549,23467,6,0,188,0,1322
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,1.0,gs,1,skga,0.2118669409573472,0.00584844588186551,0.01169689176373102,0.0,0.013400996334716158,0.009992787192745859,0,,23467,15654,1549,23467,10,0,93,0,1228
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#0.75,gs,0.75,gs,1,skga,0.1725486902772817,0.006416993208921958,0.012833986417843916,0.0,0.013308911475770666,0.012359061359916998,0,,23467,19985,1549,23467,10,0,89,0,1290
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#1.00,gs,1.0,gs,0,skga,0.0038628890590514053,0.0038628890590514053,0.0077257781181028105,0.0,0.008318093779559464,0.00713346245664606,0,,22393,11916,1490,22393,10,0,108,0,1490
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#1.00,gs,1.0,gs,1,skga,0.17108082392230398,0.0069638022085451645,0.013927604417090329,0.0,0.015975179456146727,0.011880029378033343,0,,23467,20684,1549,23467,10,0,93,0,1293
email-temp,-1,dept,mean,2,only_clusters,adm,0.5,0.5,10,-1,4,1,hdbscan,gs#1.00,gs,1.0,gs,0,skga,0.011582473762442988,0.011582473762442988,0.023164947524885977,0.0,0.027654610152695623,0.01867528489707659,0,,22393,36934,1490,22393,10,0,85,0,1490
