data,sample,sattr,strategy,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity,num_clusters,num_anonymized_entities
freebase,-1,location,static,all,adm,0.5,0.5,4,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,0.012926946328444773,0.012926946328444773,6.478666666666566e-05,0.025789105990222924,6.489333333333239e-05,6.467999999999906e-05,0,,38483,2727,5000,38483,4,1246,5000
freebase,-1,location,static,all,adm,0.5,0.5,10,-1,4,1,km,gs#1.00,gs,gs,1.0,0,skga,0.024089266173568935,0.024089266173568935,0.00013395333333332814,0.04804457901380452,0.0001339733333333283,0.00013393333333332818,0,,38483,6235,5000,38483,10,493,5000
freebase,-1,location,static,all,adm,0.5,0.5,10,-1,4,2,km,gs#1.00,gs,gs,1.0,0,skga,0.02401183517881797,0.02401183517881797,0.00013875333333332747,0.047884917024302594,0.0001387999999999942,0.00013870666666666084,0,,38483,6506,5000,38483,10,493,5000
freebase,-1,location,static,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,gs,0.25,0,skga,0.02444066514047167,0.02365959281472345,0.00014151988257271906,0.04717766574687393,0.00014159327461969005,0.00014144649052574815,0,,38483,6792,5000,38483,10,492,4996
freebase,-1,location,static,all,adm,0.5,0.5,7,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,0.019039677700475932,0.019039677700475932,0.00010169333333333114,0.03797766206761842,0.00010159999999999794,0.0001017866666666646,0,,38483,4693,5000,38483,7,705,5000
freebase,-1,location,static,all,adm,0.5,0.5,8,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,0.019901156228723016,0.019901156228723016,0.0001192799999999967,0.03968303245744611,0.0001189599999999969,0.00011959999999999682,0,,38483,5740,5000,38483,8,622,5000
freebase,-1,location,static,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0.0,0,skga,0.1595824417151089,0.039160596391701115,0.012947429257674697,0.06537376352572771,0.01294759438564883,0.012947264129700464,65,,38483,4938,5000,38483,10,437,4441
freebase,-1,location,static,all,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,0.006491400824532693,0.006491400824532693,2.618666666666698e-05,0.01295661498239873,2.6146666666667e-05,2.6226666666666993e-05,0,,38483,987,5000,38483,2,2500,5000
freebase,-1,location,static,all,adm,0.5,0.5,10,-1,1,-1,km,gs#1.00,gs,gs,1.0,0,skga,0.023616397136771845,0.023616397136771845,0.00013435999999999464,0.047098434273543675,0.00013442666666666143,0.00013429333333332805,0,,38483,6498,5000,38483,10,493,5000
freebase,-1,location,static,all,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,0,skga,0.024040851270050352,0.024040851270050352,0.00013907333333332752,0.04794262920676723,0.00013931999999999435,0.00013882666666666096,0,,38483,6662,5000,38483,10,492,5000
freebase,-1,location,static,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.50,gs,gs,0.5,0,skga,0.02378959863776886,0.02378959863776886,0.00013593333333332842,0.04744326394220434,0.0001359866666666618,0.00013587999999999516,0,,38483,6605,5000,38483,10,493,5000
freebase,-1,location,static,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.75,gs,gs,0.75,0,skga,0.023495682476860437,0.023495682476860437,0.00013575333333332832,0.046855611620387545,0.00013559999999999525,0.00013590666666666174,0,,38483,6416,5000,38483,10,491,5000
freebase,-1,location,static,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,0.007157182361531325,0.007157182361531325,2.5866666666667037e-05,0.01428849805639598,2.5866666666667054e-05,2.5866666666667044e-05,0,,38483,983,5000,38483,2,2485,5000
freebase,-1,location,static,all,adm,0.5,0.5,6,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,0,skga,0.017188386934227754,0.017188386934227754,9.355999999999797e-05,0.0342832138684556,9.34799999999981e-05,9.363999999999805e-05,0,,38483,4185,5000,38483,6,830,5000
