data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity,num_big_clusters,num_clusters,num_entities_in_big_clusters,num_anonymized_entities
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,gs,1.0,6,skga,0.10492002570713693,0.0009376866861258797,0.0018753733722517594,0.0,0.0022216616264637084,0.001529085118039809,0,,6809,1283,1201,6809,2,1,500,4,1076
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,13,skga,0.49371202632661015,0.0038087767203202195,0.007617553440640439,0.0,0.00951711803781298,0.005717988843467919,0,,6731,3680,1216,6731,10,0,54,0,618
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,11,skga,0.152081229850852,0.0010349712008013662,0.0020699424016027324,0.0,0.002507756305911482,0.0016321284972939838,0,,6725,1349,1164,6725,2,0,466,0,988
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,2,-1,km,ir,ir,ir,1.0,10,skga,0.49758430096729533,0.003655353607440486,0.007310707214880972,0.0,0.009342338505456028,0.005279075924305885,0,,6544,3164,1174,6544,10,2,43,45,592
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.75,gs,gs,0.75,5,skga,0.466569252348943,0.004318431778482243,0.008636863556964487,0.0,0.010627243716274156,0.006646483397654823,0,,6500,4462,1189,6500,10,0,44,0,637
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,1,hdbscan,ir,ir,ir,1.0,3,skga,0.21096270272260234,0.0014011839833365256,0.002802367966673051,0.0,0.0029663533130521377,0.0026383826202939827,0,,6629,2268,1177,6629,12,0,27,0,930
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.50,gs,gs,0.5,10,skga,0.5435299243402628,0.00574839106568237,0.01149678213136474,0.0,0.014384188276862863,0.008609375985866592,1,,6544,3790,1174,6544,10,0,40,0,540
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,6,-1,1,-1,hdbscan,ir,ir,ir,1.0,3,skga,0.2514561522930654,0.003352818154907219,0.006705636309814438,0.0,0.007825324757705168,0.005585947861923665,0,,6629,4652,1177,6629,6,26,82,468,884
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,15,skga,0.16506803041493842,0.0010220827300143726,0.0020441654600287453,0.0,0.002467356167205903,0.0016209747528515926,0,,7866,1429,1291,7866,2,1,506,4,1079
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,1,hdbscan,ir,ir,ir,1.0,10,skga,0.07385893681671886,0.0043135456253003196,0.008627091250600639,0.0,0.011047512964037718,0.006206669537163562,0,,6544,7371,1174,6544,10,0,28,0,1092
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,9,skga,0.0017554234642035065,0.0017554234642035065,0.003510846928407013,0.0,0.0037089592695838513,0.003312734587230144,0,,6806,3110,1162,6806,10,0,79,0,1162
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,gs,1.0,13,skga,0.4079273678259176,0.002825040548913832,0.005650081097827664,0.0,0.007089225834669763,0.004210936360985593,0,,6731,2971,1216,6731,6,0,106,0,722
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#1.00,gs,gs,1.0,8,skga,0.44100503472222224,0.006212764647956675,0.01242552929591335,0.0,0.014537173806006925,0.010313884785819787,2,,6926,5179,1200,6926,10,0,51,0,677
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,2,-1,hdbscan,gs#1.00,gs,gs,1.0,15,skga,0.5796758647875628,0.006156669305391249,0.012313338610782498,0.0,0.01571459782149168,0.008912079400073146,0,,7866,5856,1291,7866,10,0,43,0,546
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,1,-1,km,gs#1.00,gs,gs,1.0,15,skga,0.5352309470138557,0.004947185066148734,0.009894370132297468,0.0,0.01250268153166512,0.007286058732929681,0,,7866,5033,1291,7866,10,0,53,0,603
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,hdbscan,ir,ir,ir,1.0,5,skga,0.5189392037042669,0.003516921958838727,0.007033843917677454,0.0,0.008719592782855607,0.005348095052499207,0,,6500,3166,1189,6500,10,0,38,0,574
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,3,skga,0.18747081018299624,0.0017256196089630205,0.003451239217926041,0.0,0.004204631923984931,0.0026978465118671457,0,,6629,2158,1177,6629,4,0,212,0,958
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,11,skga,0.572334334148156,0.004394329896907223,0.008788659793814445,0.0,0.011266323024054952,0.006310996563573868,0,,6725,3240,1164,6725,10,0,46,0,500
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,1,-1,km,ir,ir,ir,1.0,12,skga,0.5706218137027965,0.004509603031337914,0.009019206062675828,0.0,0.011230911840757168,0.006807500284594503,0,,6870,3595,1194,6870,10,4,37,93,515
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,4,hdbscan,gs#1.00,gs,gs,1.0,3,skga,0.3672611343586975,0.004366784946773951,0.008733569893547902,0.0,0.010479375190255292,0.006987764596840498,0,,6629,4982,1177,6629,10,0,50,0,748
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,18,skga,0.6387090249508388,0.004639340454760687,0.009278680909521374,0.0,0.01141312860880099,0.007144233210241783,0,,7194,3553,1237,7194,10,0,39,0,449
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,1,km,gs#1.00,gs,gs,1.0,10,skga,0.0014919000258293647,0.0014919000258293647,0.0029838000516587294,0.0,0.0036770574253632755,0.0022905426779541837,0,,6544,2219,1174,6544,10,0,89,0,1174
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,ir,ir,ir,1.0,19,skga,0.6358177299622637,0.004040661505495262,0.008081323010990524,0.0,0.010026266675883019,0.006136379346098006,0,,7135,3264,1258,7135,10,0,34,0,460
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,3,km,ir,ir,ir,1.0,7,skga,0.19669510563408432,0.0018255920643865501,0.0036511841287731003,0.0,0.004446804513994226,0.0028555637435519286,0,,6627,2576,1173,6627,10,0,50,0,944
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,2,km,gs#1.00,gs,gs,1.0,11,skga,0.13394183022165546,0.003861947013840841,0.007723894027681682,0.0,0.009175970824334802,0.006271817231028331,0,,6725,6539,1164,6725,10,0,75,0,1012
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,19,skga,0.34565963840956826,0.002230091053620459,0.004460182107240918,0.0,0.005246422893481708,0.0036739413210001466,0,,7135,2977,1258,7135,4,0,185,0,825
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,13,skga,0.11635583259392313,0.0032362638536275745,0.006472527707255149,0.0,0.008338113953715405,0.004606941460794833,0,,6731,5395,1216,6731,10,0,76,0,1078
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,6,-1,1,-1,km,ir,ir,ir,1.0,19,skga,0.4676569162447775,0.003441072374895904,0.006882144749791808,0.0,0.008249583617230659,0.005514705882352934,0,,7135,3904,1258,7135,6,5,85,67,672
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,2,-1,1,-1,hdbscan,ir,ir,ir,1.0,12,skga,0.33218244348487275,0.0032822969011725217,0.006564593802345043,0.0,0.008326005025125607,0.0048031825795644915,0,,6870,3761,1194,6870,2,78,149,625,800
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,2,-1,hdbscan,ir,ir,ir,1.0,15,skga,0.6142933170774731,0.008073052484099254,0.01614610496819851,0.0,0.02123651019469758,0.011055699741699293,0,,7866,6777,1291,7866,10,4,30,96,502
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,2,hdbscan,ir,ir,ir,1.0,17,skga,0.1121574873225615,0.006194366460516413,0.012388732921032826,0.0,0.016991326499311954,0.007786139342753712,0,,7388,10028,1238,7388,10,0,60,0,1106
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,3,km,ir,ir,ir,1.0,3,skga,0.28214453028847297,9.954100536415381e-05,0.00019908201072830762,0.0,0.00021014212243543705,0.00018802189902118047,0,,6629,98,1177,6629,11,0,34,0,845
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,2,hdbscan,ir,ir,ir,1.0,13,skga,0.10637261134435594,0.003986338583626777,0.007972677167253554,0.0,0.009746309518066406,0.006199044816440662,0,,6731,7529,1216,6731,10,0,53,0,1091
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,4,km,gs#1.00,gs,gs,1.0,0,skga,0.0018033041867483543,0.0018033041867483543,0.0036066083734967087,0.0,0.0036118868519436076,0.003601329895049776,0,,6502,3673,1192,6502,10,0,87,0,1192
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,2,-1,1,-1,km,ir,ir,ir,1.0,13,skga,0.32857118220870846,0.0018857671953416493,0.0037715343906832986,0.0,0.004569271972719104,0.002973796808647551,0,,6731,2269,1216,6731,2,65,210,490,818
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,4,hdbscan,gs#1.00,gs,gs,1.0,7,skga,0.2865460354422358,0.0048971457476130135,0.009794291495226027,0.0,0.012211946764954268,0.007376636225497832,0,,6627,6546,1173,6627,10,0,57,0,841
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,1,km,ir,ir,ir,1.0,19,skga,0.26237722455458357,7.602207938161298e-05,0.00015204415876322595,0.0,0.0001499026917383918,0.00015418562578806014,0,,7135,76,1258,7135,10,0,39,0,928
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,4,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,5,skga,0.2536446370960041,0.0017811850474115578,0.0035623700948231155,0.0,0.004210890795925502,0.0029138493937206347,0,,6500,2240,1189,6500,4,0,196,0,889
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,2,skga,0.11606864179302971,0.0017742615225470363,0.0035485230450940726,0.0,0.004310179686602058,0.002786866403586076,0,,7189,2587,1214,7189,4,0,239,0,1075
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,3,skga,0.001231837346940687,0.001231837346940687,0.002463674693881374,0.0,0.002839036791982263,0.002088312595780484,0,,6629,1565,1177,6629,10,0,91,0,1177
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,hdbscan,ir,ir,ir,1.0,11,skga,0.6594705423884933,0.004079676734186386,0.008159353468372772,0.0,0.010358925210243635,0.005959781726501911,0,,6725,2465,1164,6725,10,0,29,0,398
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,gs,1.0,2,skga,0.2715769346639562,0.0063982007663402575,0.012796401532680515,0.0,0.01574792218129313,0.009844880884067885,0,,7189,9970,1214,7189,10,0,63,0,890
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0.0,19,skga,0.5950743540229653,0.06475843279248857,0.12951686558497713,0.0,0.13089179807446058,0.12814193309549327,77,,7135,5010,1258,7135,10,0,53,0,627
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,4,hdbscan,ir,ir,ir,1.0,12,skga,0.07717923789803287,0.0037540778031204744,0.007508155606240949,0.0,0.00939144183848717,0.005624869373994734,0,,6870,6949,1194,6870,12,0,30,0,1106
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#0.75,gs,gs,0.75,2,skga,0.25703285936452536,0.004456833629728227,0.008913667259456455,0.0,0.010823868698881,0.00700346582003193,0,,7189,6649,1214,7189,10,0,63,0,906
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,gs,0.25,12,skga,0.5573314296215864,0.011907245328734712,0.023814490657469423,0.0,0.026817667674164183,0.02081131364077458,7,,6870,4924,1194,6870,10,0,36,0,542
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,4,-1,1,-1,km,gs#1.00,gs,gs,1.0,17,skga,0.34637919830045333,0.002240995679360335,0.00448199135872067,0.0,0.005387353613182236,0.003576629104259081,0,,7388,2863,1238,7388,4,0,182,0,811
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,-1,km,gs#0.75,gs,gs,0.75,12,skga,0.5845059678627644,0.00581187500629399,0.01162375001258798,0.0,0.014983064957385443,0.008264435067790529,0,,6870,4533,1194,6870,10,0,34,0,499
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,3,-1,km,gs#1.00,gs,gs,1.0,5,skga,0.41183108265350804,0.0037993693376367965,0.007598738675273593,0.0,0.008869288516050525,0.006328188834496654,0,,6500,4439,1189,6500,10,0,54,0,702
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,3,-1,km,ir,ir,ir,1.0,9,skga,0.4984784231590735,0.0038152610441767065,0.007630522088353413,0.0,0.00966944701884462,0.00559159715786221,0,,6806,3451,1162,6806,10,0,42,0,585
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,gs,1.0,12,skga,0.0016683781834914329,0.0016683781834914329,0.0033367563669828657,0.0,0.0043019396255425495,0.002371573108423192,0,,6870,2376,1194,6870,10,0,85,0,1194
email-temp,-1,dept,mean,20,only_clusters,adm,0.5,0.5,10,-1,4,1,hdbscan,ir,ir,ir,1.0,8,skga,0.10019583333333333,0.0029870729455216973,0.005974145891043395,0.0,0.008028624192059101,0.003919667590027701,0,,6926,4471,1200,6926,12,0,26,0,1083
