data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer_name,max_dist,enforcer,t,algo,adm,radm,dm,am,odm,idm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_raw_edges,anonymized_anonymity,num_big_clusters,num_clusters,num_entities_in_big_clusters,num_anonymized_entities
email-temp,-1,dept,mean,50,only_clusters,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,1.0,gs,41,skga,0.25270025707735766,0.0008222768109900281,0.0016445536219800562,0.0,0.0019419973287488003,0.0013471099152113232,0,,3848,826,1079,3848,2,0,376,0,807
email-temp,-1,dept,mean,50,only_clusters,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,1.0,gs,31,skga,0.6021964280741813,0.0036321749895382913,0.007264349979076583,0.0,0.009321819640117164,0.005206880318035978,0,,3994,2032,1072,3994,10,0,37,0,428
email-temp,-1,dept,mean,50,only_clusters,adm,0.5,0.5,10,-1,3,-1,hdbscan,gs#1.00,gs,1.0,gs,15,skga,0.5839017768287617,0.0067331756710215145,0.013466351342043029,0.0,0.01720369956771581,0.009729003116370231,2,,3974,2288,1067,3974,10,0,36,0,449
email-temp,-1,dept,mean,50,only_clusters,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#1.00,gs,1.0,gs,0,skga,0.0008273261723100909,0.0008273261723100909,0.0016546523446201817,0.0,0.001814330864335045,0.0014949738249053328,0,,4040,1107,1072,4040,10,0,94,0,1072
email-temp,-1,dept,mean,50,only_clusters,adm,0.5,0.5,10,-1,4,3,hdbscan,gs#1.00,gs,1.0,gs,28,skga,0.16293377649791477,0.003446563013106384,0.006893126026212768,0.0,0.008878350801817992,0.004907901250607603,0,,3809,3902,1031,3809,10,0,60,0,866
email-temp,-1,dept,mean,50,only_clusters,adm,0.5,0.5,10,-1,4,1,km,gs#1.00,gs,1.0,gs,19,skga,0.0010830661465511843,0.0010830661465511843,0.0021661322931023686,0.0,0.0027903805446588725,0.0015418840415458628,0,,3917,1258,1046,3917,10,0,79,0,1046
email-temp,-1,dept,mean,50,only_clusters,adm,0.5,0.5,2,-1,1,-1,km,gs#1.00,gs,1.0,gs,13,skga,0.17752278663609686,0.0007542986859484101,0.0015085973718968202,0.0,0.0018270563570333583,0.001190138386760277,0,,3813,693,1091,3813,2,2,413,10,898
email-temp,-1,dept,mean,50,only_clusters,adm,0.5,0.5,10,-1,4,3,km,gs#1.00,gs,1.0,gs,8,skga,0.3707331889174751,0.004300381244419398,0.008600762488838795,0.0,0.011362434794868169,0.005839090182809334,0,,3974,3439,1038,3974,10,0,46,0,656
email-temp,-1,dept,mean,50,only_clusters,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,1.0,gs,7,skga,0.43593345415183055,0.003327045435217888,0.006654090870435776,0.0,0.008833466049215645,0.004474715691655929,0,,3894,2355,1069,3894,10,0,51,0,605
email-temp,-1,dept,mean,50,only_clusters,adm,0.5,0.5,6,-1,1,-1,km,gs#1.00,gs,1.0,gs,18,skga,0.4416755837618556,0.0024476726939639073,0.004895345387927815,0.0,0.00622288286702459,0.0035678079088310127,0,,3707,1747,1047,3707,6,0,88,0,586
