Unnamed: 0,t,clustering,gen_kg,gen_history,data,sample,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,calgo,max_dist
47,47,15.724549293518065,319.16319012641907,7.231354713439941,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
48,48,16.48766016960144,257.04375076293945,5.293912649154663,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
49,49,17.06022047996521,271.5337767601013,5.809209108352661,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0
0,0,4.595606803894043,7.5553138256073,1.5124478340148926,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
1,1,3.436281681060791,16.104220151901245,1.6902358531951904,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
2,2,3.6657292842864986,55.33335375785828,1.5619885921478271,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
3,3,3.877562284469605,72.75322818756105,1.9717504978179927,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
4,4,3.605504035949707,103.62411165237428,2.12941312789917,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
5,5,4.222611665725708,140.9981350898743,1.7690999507904053,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
6,6,4.321052551269531,147.0269296169281,2.32932448387146,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
7,7,4.217695474624634,146.76815962791443,2.600627183914185,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
8,8,4.169534921646118,148.46699094772342,2.47380805015564,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
9,9,4.163475513458252,221.86163783073425,2.4679999351501465,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
10,10,4.596871376037598,207.262552022934,2.8367125988006587,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
11,11,4.783031940460205,223.8853611946106,2.8648104667663574,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
12,12,4.771515369415283,199.3806426525116,2.8916645050048833,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
13,13,4.9833805561065665,219.48956298828125,3.603873014450073,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
14,14,5.799040079116821,236.6216790676117,3.526119470596313,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
15,15,4.800299406051637,284.42486071586615,2.6202259063720703,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
16,16,5.982375383377075,272.67383313179016,3.028237581253052,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
17,17,4.786680221557617,292.236008644104,2.948363304138184,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
18,18,4.9973673820495605,336.52695727348333,3.245466709136963,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
19,19,6.528040885925293,318.5197830200196,3.720039367675781,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
20,20,5.511057376861572,331.1010932922363,3.4835922718048096,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
21,21,6.2017953395843515,439.5515706539154,3.2645390033721924,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
22,22,5.334778070449829,442.2317092418671,4.090653657913208,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
23,23,5.089524507522583,449.7799286842346,4.213785409927368,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
24,24,6.6593685150146475,468.5902862548828,3.485090970993042,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
25,25,5.501521110534668,497.3564245700836,3.537001609802246,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
26,26,6.989741563796997,515.9788010120392,3.7162599563598633,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
27,27,5.408233165740967,525.0935399532318,3.8705472946166988,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
28,28,5.6342217922210684,588.4549205303192,3.608130931854248,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
29,29,6.091847658157349,560.9870734214784,4.124536037445068,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
30,30,6.533159255981445,634.4792392253877,3.934392213821411,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
31,31,6.60441517829895,619.4382576942444,4.1262221336364755,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
32,32,7.695590257644652,649.89279961586,4.50751519203186,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
33,33,8.210378408432009,614.9172933101654,5.39456844329834,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
34,34,7.552493333816527,683.0725603103638,6.906206130981445,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
35,35,6.2213640213012695,646.9913904666902,3.8923461437225337,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
36,36,6.44234824180603,726.7689392566681,4.5870845317840585,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
37,37,6.780792236328125,704.1387887001038,7.301289319992065,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,2,km,1.0
