Unnamed: 0,t,clustering,gen_kg,gen_history,data,sample,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,calgo,max_dist,algo,galgo
0,3,8.882416486740114,380.6334021091461,1.367269515991211,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,1,km,1.0,ctkga,ad2
0,4,9.059708356857302,442.6021285057068,1.3371992111206057,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,4,km,1.0,ctkga,ad2
0,1,7.114434003829956,283.5045342445373,1.3430590629577637,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,8,km,1.0,ctkga,ad2
0,4,9.077396631240843,427.6569924354553,1.3537919521331787,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,1,km,1.0,ctkga,ad2
0,3,4.6285080909729,484.7995414733887,1.4478697776794434,email-temp,-1,meanadd,50,all,adm,0.5,0.5,6,4,km,1.0,ctkga,ad2
0,0,6.012315273284912,175.34437036514282,1.3635873794555664,email-temp,-1,meanadd,50,all,adm,0.5,0.5,6,2,km,1.0,ctkga,ad2
0,0,6.401721239089966,170.4473538398743,1.3413290977478027,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0,ctkga,ad2
0,0,6.756751537322997,164.7124819755554,1.3392586708068848,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,1,km,1.0,ctkga,ad2
0,4,4.238830089569092,281.6056952476501,1.727196455001831,email-temp,-1,meanadd,50,all,adm,0.5,0.5,6,4,km,1.0,ctkga,ad2
0,3,7.1936774253845215,445.15152215957636,1.296764850616455,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0,ctkga,ad2
0,3,6.829128503799439,443.8426649570465,1.302581548690796,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,8,km,1.0,ctkga,ad2
0,1,7.1073060035705575,268.65660786628723,1.3601460456848145,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,2,km,1.0,ctkga,ad2
0,0,6.678201198577881,162.95795774459842,1.3326053619384766,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,2,km,1.0,ctkga,ad2
0,3,8.071486473083496,436.7455728054047,1.315854787826538,email-temp,-1,meanadd,50,all,adm,0.5,0.5,6,2,km,1.0,ctkga,ad2
0,0,5.94504714012146,189.9007613658905,1.3167262077331543,email-temp,-1,meanadd,50,all,adm,0.5,0.5,8,8,km,1.0,ctkga,ad2
0,0,5.552419424057007,178.30859780311584,1.360844612121582,email-temp,-1,meanadd,50,all,adm,0.5,0.5,6,1,km,1.0,ctkga,ad2
0,1,7.70545482635498,260.7809307575226,1.3259973526000977,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0,ctkga,ad2
0,2,7.045247793197633,350.13053965568537,1.2911784648895264,email-temp,-1,meanadd,50,all,adm,0.5,0.5,8,2,km,1.0,ctkga,ad2
0,2,4.204203128814696,455.47214937210083,1.4273452758789062,email-temp,-1,meanadd,50,all,adm,0.5,0.5,8,6,km,1.0,ctkga,ad2
0,2,7.319320201873778,332.6895401477814,1.3739955425262451,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0,ctkga,ad2
0,1,6.666672945022582,300.5652115345001,1.3404853343963623,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,8,km,1.0,ctkga,ad2
0,2,8.365078210830687,327.537006855011,1.3395390510559082,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,4,km,1.0,ctkga,ad2
0,0,6.247286796569824,178.73606061935425,1.3507373332977295,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,8,km,1.0,ctkga,ad2
0,4,9.344107389450071,435.2634587287903,1.348232984542847,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,8,km,1.0,ctkga,ad2
0,3,7.352581739425659,427.9098184108734,1.2944278717041016,email-temp,-1,meanadd,50,all,adm,0.5,0.5,8,2,km,1.0,ctkga,ad2
0,0,6.531089067459106,178.71316862106323,1.366466760635376,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,4,km,1.0,ctkga,ad2
0,2,7.291768550872803,368.4408550262451,1.3490352630615234,email-temp,-1,meanadd,50,all,adm,0.5,0.5,8,4,km,1.0,ctkga,ad2
0,1,7.505878448486327,267.38274431228643,1.3403382301330566,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,1,km,1.0,ctkga,ad2
0,3,8.604656219482424,389.88052582740784,1.3429515361785889,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,6,km,1.0,ctkga,ad2
0,3,8.803317546844482,395.04550981521606,1.352259635925293,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,4,km,1.0,ctkga,ad2
0,0,5.4546661376953125,5.802935361862183,1.5121972560882568,email-temp,-1,meanadd,50,all,adm,0.5,0.5,8,6,km,1.0,ctkga,ad2
0,4,9.207930564880373,443.9934904575348,1.328991413116455,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,6,km,1.0,ctkga,ad2
0,0,5.890697240829468,181.32143449783325,1.308539628982544,email-temp,-1,meanadd,50,all,adm,0.5,0.5,6,6,km,1.0,ctkga,ad2
0,3,7.4093897342681885,418.4096484184265,1.309000015258789,email-temp,-1,meanadd,50,all,adm,0.5,0.5,6,1,km,1.0,ctkga,ad2
0,1,7.890867710113525,255.03967475891116,1.3043920993804932,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,4,km,1.0,ctkga,ad2
0,2,7.049639225006104,405.6665334701538,1.32847261428833,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,4,km,1.0,ctkga,ad2
0,3,7.81208324432373,410.0338282585144,1.3154630661010742,email-temp,-1,meanadd,50,all,adm,0.5,0.5,6,6,km,1.0,ctkga,ad2
0,1,7.172087669372559,278.34592533111567,1.3967676162719729,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,6,km,1.0,ctkga,ad2
0,2,8.623877048492433,319.23927974700933,1.3147599697113037,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,1,km,1.0,ctkga,ad2
0,3,7.233761787414551,441.22027945518494,1.324687957763672,email-temp,-1,meanadd,50,all,adm,0.5,0.5,8,8,km,1.0,ctkga,ad2
0,0,6.3766846656799325,179.6450490951538,1.372873067855835,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,1,km,1.0,ctkga,ad2
0,1,6.850422620773315,269.4894950389862,1.2916138172149658,email-temp,-1,meanadd,50,all,adm,0.5,0.5,6,1,km,1.0,ctkga,ad2
0,0,5.557939052581787,186.99252223968503,1.346484661102295,email-temp,-1,meanadd,50,all,adm,0.5,0.5,10,1,km,1.0,ctkga,ad2
0,1,7.460204124450684,264.35286569595337,1.3432488441467283,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,6,km,1.0,ctkga,ad2
0,2,8.600352048873901,47.89916467666626,1.6090176105499268,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,2,km,1.0,ctkga,ad2
0,1,6.4383814334869385,284.7656471729278,1.340320110321045,email-temp,-1,meanadd,50,all,adm,0.5,0.5,6,6,km,1.0,ctkga,ad2
0,1,7.819953918457031,256.8861849308014,1.347439527511597,email-temp,-1,meanadd,50,all,adm,0.5,0.5,2,1,km,1.0,ctkga,ad2
0,0,5.865553379058838,185.55723214149475,1.3181743621826172,email-temp,-1,meanadd,50,all,adm,0.5,0.5,6,4,km,1.0,ctkga,ad2
0,0,6.397270679473878,171.94525265693662,1.4001460075378418,email-temp,-1,meanadd,50,all,adm,0.5,0.5,4,2,km,1.0,ctkga,ad2
