Unnamed: 0,t,clustering,gen_kg,gen_history,data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,algo,galgo
0,19,215.89452934265137,2.964590549468994,38.04292583465576,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.75,gs,gs,0.75,tanga,ad2
0,10,198.20606398582456,3.337188243865967,25.09441566467285,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,tanga,ad2
0,4,179.31695461273193,3.5644679069519043,14.869009971618652,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,tanga,ad2
0,16,213.8601007461548,7.480350494384766,56.67974376678467,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,ir,ir,ir,1.0,tanga,ad2
0,2,170.59119057655334,3.265887260437012,11.268279552459717,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.75,gs,gs,0.75,tanga,ad2
0,15,212.2156388759613,3.1845545768737797,33.13035845756531,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.75,gs,gs,0.75,tanga,ad2
0,9,194.15897345542908,3.743764877319336,39.376832723617554,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0.0,tanga,ad2
0,0,6597.527740240097,1815.4512753486636,3.621771097183228,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,4,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,tanga,ad2
0,5,186.7659752368927,8.020349740982056,37.13660383224487,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,ir,ir,ir,1.0,tanga,ad2
0,8,188.58928394317627,12.650869846343994,20.18442416191101,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,4,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,tanga,ad2
0,7,186.24728298187256,3.149178981781006,19.639207363128666,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.75,gs,gs,0.75,tanga,ad2
0,3,177.26262044906616,2.8147919178009038,12.38691782951355,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.00,gs,gs,0.0,tanga,ad2
0,9,198.60556197166443,3.534406900405884,22.86892008781433,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,2,-1,km,gs#1.00,gs,gs,1.0,tanga,ad2
0,19,216.2653465270996,3.204176425933838,39.48053741455078,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.25,gs,gs,0.25,tanga,ad2
0,17,217.78387331962583,51.94181060791016,40.28126096725464,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,2,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,tanga,ad2
0,0,6153.261569738388,1616.1264984607697,4.119766473770142,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,8,-1,1,-1,km,gs#1.00,gs,gs,1.0,tanga,ad2
0,3,170.00110697746277,2.9708261489868164,9.396780490875244,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,2,km,gs#1.00,gs,gs,1.0,tanga,ad2
0,8,190.5371775627136,2.970653533935547,20.933917999267575,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,hdbscan,gs#0.50,gs,gs,0.5,tanga,ad2
0,12,198.91574549674988,12.937368869781494,28.34694504737854,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,4,-1,1,-1,hdbscan,gs#1.00,gs,gs,1.0,tanga,ad2
0,13,205.76403522491452,7.210397005081177,51.08116793632507,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,2,-1,1,-1,km,ir,ir,ir,1.0,tanga,ad2
0,2,176.9076476097107,3.3070971965789795,11.240386724472046,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,3,-1,km,gs#1.00,gs,gs,1.0,tanga,ad2
0,1,167.8858985900879,3.621831178665161,9.322258949279783,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,4,-1,km,gs#1.00,gs,gs,1.0,tanga,ad2
0,6,187.9423792362213,4.97895073890686,18.450605869293213,yago15,-1,isCitizenOf,mean,20,all,adm,0.5,0.5,10,-1,1,-1,km,gs#1.00,gs,gs,1.0,tanga,ad2
