Unnamed: 0,t,clustering,gen_kg,gen_history,data,sample,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,calgo,max_dist,algo,galgo
0,8,257.1800229549408,1.6689300537109375e-06,41.05913925170898,yago,-1,equaladd,50,only_clusters,adm,0.5,0.5,8,8,km,1.0,ctkga,ad2
0,4,537.1593573093413,2.6226043701171875e-06,19.007984638214108,yago,-1,equaladd,50,only_clusters,adm,0.5,0.5,4,1,km,1.0,ctkga,ad2
0,5,215.65973544120789,2.6226043701171875e-06,22.22493553161621,yago,-1,equaladd,50,only_clusters,adm,0.5,0.5,10,2,km,1.0,ctkga,ad2
0,3,733.7036964893341,2.1457672119140625e-06,8.702543973922731,yago,-1,equaladd,50,only_clusters,adm,0.5,0.5,2,1,km,1.0,ctkga,ad2
0,7,270.162383556366,1.9073486328125e-06,33.73718810081482,yago,-1,equaladd,50,only_clusters,adm,0.5,0.5,8,4,km,1.0,ctkga,ad2
0,10,254.4772846698761,1.9073486328125e-06,55.04877901077271,yago,-1,equaladd,50,only_clusters,adm,0.5,0.5,6,8,km,1.0,ctkga,ad2
0,4,214.1697838306427,1.9073486328125e-06,10.546105861663818,yago,-1,equaladd,50,only_clusters,adm,0.5,0.5,2,4,km,1.0,ctkga,ad2
0,1,208.55926179885864,3.814697265625e-06,6.075870990753174,yago,-1,equaladd,50,only_clusters,adm,0.5,0.5,4,8,km,1.0,ctkga,ad2
0,4,720.8396053314209,2.384185791015625e-06,10.691030502319336,yago,-1,equaladd,50,only_clusters,adm,0.5,0.5,2,1,km,1.0,ctkga,ad2
0,9,561.7989492416382,1.430511474609375e-06,33.62691712379456,yago,-1,equaladd,50,only_clusters,adm,0.5,0.5,8,1,km,1.0,ctkga,ad2
0,4,210.93004202842712,1.430511474609375e-06,12.91994571685791,yago,-1,equaladd,50,only_clusters,adm,0.5,0.5,4,6,km,1.0,ctkga,ad2
0,9,655.0535175800322,3.0994415283203125e-06,29.314899682998657,yago,-1,equaladd,50,only_clusters,adm,0.5,0.5,6,1,km,1.0,ctkga,ad2
0,10,268.6375663280487,2.6226043701171875e-06,43.96167922019959,yago,-1,equaladd,50,only_clusters,adm,0.5,0.5,6,6,km,1.0,ctkga,ad2
0,3,238.05102944374084,2.1457672119140625e-06,12.422075510025024,yago,-1,equaladd,50,only_clusters,adm,0.5,0.5,6,4,km,1.0,ctkga,ad2
0,6,303.58870267868036,1.9073486328125e-06,22.75005507469177,yago,-1,equaladd,50,only_clusters,adm,0.5,0.5,2,2,km,1.0,ctkga,ad2
0,9,229.66983914375302,1.9073486328125e-06,36.578790187835686,yago,-1,equaladd,50,only_clusters,adm,0.5,0.5,10,8,km,1.0,ctkga,ad2
